Dataset ID,Time Between,Outlier?
aahfhahbi,2.958506944,No
aahfifhha,1259.702292,Yes
aabaiiahe,0.497210648,No
aabaijbhg,0.967615741,No
aahdcjbde,265.3609606,Yes
aahddaidc,30.71318287,No
aabhjhigg,346.1827083,Yes
aaaahhfjf,20.06342593,No
aaabaffgg,41.17796296,No
aahgeifba,21.93094907,No
aahgecjac,120.6624537,Yes
aahgecghg,120.6844213,Yes
aahgecche,136.0469907,Yes
aahgeggjb,704.2443171,Yes
aadjggiji,1.7984375,No
aagiiccij,0.070925926,No
aagiicgce,0.08462963,No
aadehjdjh,11.48979167,No
aabjceifi,0.577928241,No
aabjccdfj,0.852164352,No
aabibagji,0.233865741,No
aadceiidb,0.025,No
aaaecjdcf,29.92334491,No
aaaecjdch,29.92334491,No
aaaedcieg,0,No
aaaeddjhb,0.134039352,No
aaaedeafh,0.134039352,No
aaaeddjji,5.982731481,No
aaedcghgh,7.761157407,No
aaedciibe,480.5435417,Yes
aaeddafcf,314.0356481,Yes
aaeddgehd,0,No
aaedcggic,519.652662,Yes
aabbedbgh,4.44962963,No
aabbfjace,0.813009259,No
aabbfdeff,178.1737153,Yes
aabbebdce,0.08681713,No
aabbecjag,2.946354167,No
aabbfcjba,0.755162037,No
aabbebfgb,59.1515162,No
aagccgdee,0.1503125,No
aagcdchbg,0.001550926,No
aababfcje,16.16070602,No
aaaaebgge,6.013229167,No
aaaaeafid,0.203819444,No
aaaadjjcj,33.66802083,No
aaaaeajgc,0.028761574,No
aaaaefgii,0.521087963,No
aaedhafdc,8.108506944,No
aaedhafcd,5.0703125,No
aaedhadge,343.0015162,Yes
aaabdjcde,146.8939236,Yes
aaabdjiih,49.02260417,No
aabhdcejd,17.18033565,No
aabhdcajh,0.059826389,No
aabhdbfje,0.255798611,No
aaaabeacf,221.3847801,Yes
aaaabbcjb,31.39994213,No
aaaabffbf,4.818865741,No
aaaabbjih,62.9096875,No
aaaabdigc,3.8978125,No
aaaabbgfi,1.5975,No
aaaaajfcg,162.099838,Yes
aaaabbdbh,3.043726852,No
aabgbhgca,41.41612269,No
aabgbhffd,0.070833333,No
aabdbjebb,185.4236343,Yes
aahcfdjbf,38.04793981,No
aahcejhcb,80.1518287,No
aahcfceih,109.9395718,Yes
aadfccceb,7.016944444,No
aadgdcdce,0.075520833,No
aadgbhide,0.089907407,No
aaedacacc,8.224398148,No
aaacghjbf,13.81681713,No
aaaejggjj,28.9931713,No
aabidhebi,0.345914352,No
aabiddhdc,86.27825231,No
aabigdbeg,3.662962963,No
aabicijcf,0.970706019,No
aabiebagc,0.124143519,No
aabifacec,0.936041667,No
aahfdjhaf,7.593460648,No
aahfdjebc,0.997928241,No
aagjghaaa,11.68591435,No
aagjgfbcj,0,No
aagjejhaj,34.03038194,No
aabfjgfhh,0.942337963,No
aagjicfbg,0.044131944,No
aabjejhdf,88.37990741,No
aabgiaeee,0.600983796,No
aadjghegj,1.113483796,No
aaigibfhg,0.035868056,No
aaigiagce,12.56935185,No
aaigibbhf,7.918981481,No
aaaihiaia,1563.085914,Yes
aaahcfbdd,0.237083333,No
aaahcfbdi,0.025775463,No
aaifhfefd,21.64568287,No
aaifgdgac,0.877361111,No
aaifhffie,0.949988426,No
aaifgiefa,3.390868056,No
aaifgibhj,8.34775463,No
aaifgjdfj,7.386898148,No
aaifggcei,11.2946412,No
aaifhdaee,4.579710648,No
aaifiaacf,42.96877315,No
aaifhgbga,19.0716088,No
aaifgfacc,5.813530093,No
aaifhbigb,0.090520833,No
aadcgachg,109.0170486,Yes
aadcgacfe,2.769456019,No
aadfdbigj,184.0293866,Yes
aaahifcgc,0.893541667,No
aabfgfdfc,1.195752315,No
aabfgcfae,1.402222222,No
aabfgfdej,0.395659722,No
aadjchagh,0.010798611,No
aabdbdccc,7.761377315,No
aadehbjdc,2.915925926,No
aaabfdide,18.0322338,No
aagdbdijh,12.8137963,No
aagdbfcij,1.249641204,No
aahedhgdg,1.061203704,No
aaheihfbj,0.218055556,No
aahehehej,322.5096528,Yes
aahecdddi,1.16E-05,No
aahecjgif,2.31E-05,No
aaheeadgj,475.9026042,Yes
aaheddbbj,19.02034722,No
aahejgefc,7.984259259,No
aahegghia,355.9561343,Yes
aahedghig,1.71681713,No
aaheffdif,0,No
aahedccbd,45.29846065,No
aahedbjfc,0.031400463,No
aaheggfjf,1216.884491,Yes
aaheieedj,0,No
aabgegjfd,7.156041667,No
aaaecacci,0.931712963,No
aaaecaabi,22.32229167,No
aahfcgade,11.01364583,No
aadjgaiad,39.89296296,No
aabchbfbj,676.5164005,Yes
aabhifhgj,0,No
aabhifgeb,0,No
aabheieic,0.009074074,No
aabheeebj,43.04539352,No
aabhefcea,468.0577778,Yes
aabhegiii,0.000625,No
aabheeeig,5.665729167,No
aaaibdjbe,0.872407407,No
aaaibcjib,96.5050463,No
aaaibdfae,0.126574074,No
aaaibdfbd,0.126574074,No
aaaibdfac,0.126574074,No
aaaibdfbe,0.126574074,No
aaacfdhab,13.64349537,No
aaacbhiei,1.528993056,No
aaacbjbih,278.8582986,Yes
aaedhiicb,87.78775463,No
aabhhhhdi,7.10087963,No
aabhhiaah,18.91409722,No
aabhhifha,4.98412037,No
aadggeceg,0.767638889,No
aabdccfaa,1296.182697,Yes
aaidgddig,106.9446296,Yes
aaidfcfcc,1.099502315,No
aaidfcfcd,1.099502315,No
aaidejjfh,6.524664352,No
aaidfaahg,0.170729167,No
aaidfcgjc,19.86565972,No
aaidfcgcc,35.70744213,No
aaidfcgbi,35.70744213,No
aaidfchfd,29.45287037,No
aaidfcifi,29.32466435,No
aabchedff,0.0228125,No
aabchdddi,13.16208333,No
aabchdhjf,4.127708333,No
aabbihdcj,3.919212963,No
aabbigjae,5.012708333,No
aabbihhaf,2.020393519,No
aabbigfgg,0.004722222,No
aahihahcb,4.055497685,No
aaggfgjec,33.2069213,No
aabafeebd,201.9005671,Yes
aabafigjj,5.027291667,No
aaeaefgeg,6.121342593,No
aagjheacf,10.53959491,No
aagjibgbb,0.111458333,No
aagjhiibg,9.74556713,No
aagjhjdbg,14.00144676,No
aabggchif,1.804479167,No
aabggched,0.095752315,No
aagjchbgj,20.06842593,No
aagjbjajh,411.1496644,Yes
aagjcjahi,1.413101852,No
aagjcbbbb,142.0901389,Yes
aagjbiidh,149.9509144,Yes
aaacbbjji,0.221203704,No
aaacbfgej,9.765486111,No
aaacbgega,3.814837963,No
aaacbgibf,1.138946759,No
aaacbfcje,0.011180556,No
aaacbfidg,3.177384259,No
aaacbheah,0.657094907,No
aaacbfgig,1.093541667,No
aaifigfca,14.54733796,No
aaifjbiii,190.0266435,Yes
aaifiefgc,15.2859838,No
aaifiihbi,199.0218056,Yes
aaigbaiga,14.07582176,No
aaifijfdc,169.8344329,Yes
aaigabigj,62.02336806,No
aaifiegje,112.0947685,Yes
aaifjbjcd,296.8144792,Yes
aaigacegb,5.411273148,No
aaifjgahe,1.693622685,No
aagjbafjc,13.85449074,No
aadggajjf,103.9438889,Yes
aadggbadd,397.3540046,Yes
aahighdjh,1.934189815,No
aaedgfahc,1.599016204,No
aabcfabdb,21.85670139,No
aabceijha,0.852974537,No
aabcegjaj,14.37880787,No
aabjefigf,412.4323843,Yes
aabjeefia,0.026099537,No
aabjefefc,473.379537,Yes
aabjeejed,32.42802083,No
aaedieahj,0.146145833,No
aacahhbih,119.0121528,Yes
aabahigej,0.055127315,No
aabahjdbe,16.97628472,No
aabaigebh,1.907395833,No
aabhfaijd,0.015578704,No
aaedjffic,13.97905093,No
aaighdija,0.024293981,No
aaahdahdj,0.009340278,No
aaahdddja,0.244398148,No
aaahdafdg,5.431608796,No
aaahdccia,2.719444444,No
aaahdebhg,4.996655093,No
aaaijggef,3.043958333,No
aaacedjjh,266.7818171,Yes
aaacedhda,0.010451389,No
aaacebgba,50.22299769,No
aadeiafij,5.354293981,No
aadeicjfd,1.950092593,No
aabbhbahi,0,No
aabbghadj,0.213252315,No
aabbifgbb,0,No
aabbhfbdc,0,No
aabbgiead,0,No
aadjbfbfd,3.294131944,No
aaeefaege,1.646122685,No
aaeeddibc,33.52141204,No
aaajdebhe,0.985277778,No
aacgijjbb,45.66986111,No
aagjeaaic,138.1838773,Yes
aagjeghea,523.0331944,Yes
aagjeghih,523.0331944,Yes
aabfbjjbc,14.70665509,No
aaaifdeed,3.877916667,No
aaeafedde,2.230856481,No
aaeafcded,1.81880787,No
aaeigfgff,2.793703704,No
aaeigfgch,2.793703704,No
aaaiacdab,6.931203704,No
aaghfijfc,2.399201389,No
aaggfgaij,6.050752315,No
aaggegefh,612.3629861,Yes
aadgggcej,166.1302778,Yes
aadjcccbf,3.633252315,No
aagjabcfd,16.2628125,No
aadcaddhd,0.113136574,No
aadfcbaga,0.809525463,No
aagicedab,5.467673611,No
aadjfcbfg,1.82287037,No
aadjfcaic,2.050335648,No
aahdbfddf,8.367743056,No
aaahgcifi,6.688321759,No
aaahgcjbc,29.94633102,No
aahhibbii,0.645416667,No
aahhibbae,11.86553241,No
aagifgihi,2.127800926,No
aagiffecj,0.61505787,No
aagifeadg,19.60945602,No
aagiffeig,27.85508102,No
aagifhcgc,0.020358796,No
aagifefhh,0.093425926,No
aagifggjb,7.364409722,No
aagiffecd,0.10119213,No
aagifcjeb,4.196238426,No
aagifhdhj,0.000729167,No
aagifjaif,8.089386574,No
aagififie,18.06569444,No
aabjaiafi,4.928854167,No
aagcdicfh,13.16658565,No
aagcfheih,45.25099537,No
aaafedcdb,7.859525463,No
aahbjifaa,4.1084375,No
aahbjeeej,13.02418981,No
aahbjiedg,5.90900463,No
aahcaeiia,8.964606481,No
aahcafbjf,28.21822917,No
aahcacdaa,129.2688657,Yes
aahcaciad,19.83737269,No
aahbjjjge,55.91555556,No
aahgjfjad,0,No
aahghgjeg,0.004398148,No
aahghfdig,13.7671412,No
aahghjjgi,527.969213,Yes
aahgiiifa,22.05402778,No
aahggjjhd,863.2231366,Yes
aahghgfic,69.99164352,No
aahggfjde,0.738275463,No
aahggjhaf,0.000289352,No
aahgibiab,255.106794,Yes
aagigdece,210.1237847,Yes
aahjbbfjj,1.95712963,No
aaidbijih,139.6937269,Yes
aaicghijj,1.771782407,No
aaiccifhg,15.16302083,No
aaidbefgj,3.853611111,No
aaibigejg,11.01142361,No
aaicecahe,0,No
aaiddacfd,53.89859954,No
aaiceajad,0.090011574,No
aaicfcaeg,174.5949884,Yes
aaicibihe,0.986585648,No
aaidbeaib,0.797858796,No
aaidbjgjc,29.13482639,No
aaidbhdjc,36.44488426,No
aaibidbag,34.57126157,No
aaicheghb,0,No
aaicijbah,10.8755787,No
aaibiiahh,0.979583333,No
aaibiiaji,0.979583333,No
aaibihdee,57.87278935,No
aaicdcehe,5.981539352,No
aaicijifb,174.7564352,Yes
aaicjdhbj,167.7871412,Yes
aaidbahic,117.8677083,Yes
aaicicbbh,1.053715278,No
aaicecfhb,0.03349537,No
aaidbbgfj,0.012256944,No
aaicjfehc,65.86793981,No
aaidcjjgh,1.886377315,No
aaicidbef,5.740462963,No
aaicggggh,1.888831019,No
aaichfeic,0.969328704,No
aaicidacj,4.056145833,No
aaidbbaah,5.003252315,No
aaicghjbh,1.681550926,No
aaichihad,3.070891204,No
aaichbggd,8.837071759,No
aaibiihec,6.507048611,No
aaibiihee,6.507048611,No
aaicfchhj,5.229884259,No
aaicfdabh,1.140659722,No
aaiciefei,196.6830787,Yes
aaidceicf,0.013449074,No
aaiccgaec,103.8169097,Yes
aaicccafb,279.151713,Yes
aaibidgce,1.607395833,No
aaicjcdgb,256.9479861,Yes
aaicieagc,266.8193866,Yes
aaichefag,1.267118056,No
aaidaiifi,51.56841435,No
aaagjegfd,5.930983796,No
aaagijdad,1.802638889,No
aaagijefi,3.883854167,No
aahibjadh,68.88944444,No
aahbiabfd,4.620914352,No
aahidacbb,22.23887731,No
aahicjdid,768.7370718,Yes
aaibgcgeb,1.961805556,No
aaibhacdi,0.044027778,No
aahbcgaah,78.04502315,No
aahbbeebb,237.3384722,Yes
aahbabeef,0.618715278,No
aahbbejbe,0.345173611,No
aabijihhf,1.774351852,No
aabijefic,0.007534722,No
aabijhhdf,1335.729363,Yes
aahaaieei,159.8765625,Yes
aahaadbib,0.072511574,No
aahabhhji,71.67768519,No
aahacddgd,0,No
aahacddic,0,No
aagghafih,2.44025463,No
aadjhceje,207.2727083,Yes
aaajiaicc,15.89009259,No
aadjjjejj,0.984548611,No
aadjjggaj,13.30005787,No
aadjjfjab,0.917060185,No
aahjjfhjb,80.21484954,No
aahjibaib,125.1367593,Yes
aahjjiiaj,0.002696759,No
aagghcaid,55.78085648,No
aadjjdicd,0.946145833,No
aagdjbadj,14.68131944,No
aagdihjjj,0.081979167,No
aagdgjcai,0.888055556,No
aagdjbejh,6.952523148,No
aagdiiige,51.91988426,No
aagdihieb,0.100625,No
aagdiehej,54.07243056,No
aagdgfhhf,9.554988426,No
aagdjaagb,54.65644676,No
aahiahhce,0.072592593,No
aahibaiie,10.66887731,No
aahhjjfga,0.868946759,No
aahhjhadd,135.6779745,Yes
aahiaigjb,9.039016204,No
aahiahhff,0.271539352,No
aahiaieig,14.3134838,No
aahhhccej,0.507847222,No
aahhhceif,0.33619213,No
aahhfgheh,0.245914352,No
aahhgbcea,75.82405093,No
aaagifjbh,2.293333333,No
aaagifhdb,2.091215278,No
aahccfjee,195.9232755,Yes
aadigjifg,0.052962963,No
aagahebed,26.87895833,No
aagahedfi,45.44652778,No
aagahehbc,0,No
aadjhiefg,255.6691782,Yes
aadjhjfif,17.09337963,No
aadjhjehf,18.8984375,No
aabjaihif,11.38457176,No
aaagadehf,2.630659722,No
aahaefgec,0.027731481,No
aahaefjij,0.9296875,No
aahbecfch,220.5409491,Yes
aahbdjbdh,9.410648148,No
aahbdhfbf,21.03203704,No
aahbecgaf,234.5470139,Yes
aahbfejgg,16.09334491,No
aahbeahfi,9.972604167,No
aahbdfcbe,200.7509259,Yes
aahbfgcff,53.38091435,No
aahbdgdfg,2.232604167,No
aahbdfaja,14.68140046,No
aahbfehai,230.3853819,Yes
aahbdgdgb,300.9206597,Yes
aahbecgdj,0,No
aaiabihge,0.584571759,No
aadhagbhi,0.985821759,No
aadhahjcc,1.758703704,No
aadhbdbbj,16.14237269,No
aadhahccd,7.488194444,No
aadhaibec,7.257523148,No
aadhbdhia,1134.225451,Yes
aaaffehaa,8.202118056,No
aaaffeidb,172.8280556,Yes
aahcdigja,348.792963,Yes
aahcdifch,43.69168981,No
aahceahgj,0.03224537,No
aahcdieja,12.39497685,No
aahcebheg,0.010289352,No
aahcdjbjc,16.45890046,No
aahceahgh,0.012476852,No
aahcdiejd,17.63568287,No
aahcdifha,16.65059028,No
aaigcehji,226.0582755,Yes
aaccaddcf,18.04046296,No
aaajhebda,0.864837963,No
aaajhebfb,0.092106481,No
aaageieic,64.86516204,No
aaageebee,2.831180556,No
aaageihch,0.299259259,No
aaagfjddi,0.580324074,No
aaageihcb,59.44586806,No
aaagfdbeh,0.102199074,No
aaaggfffj,1.178854167,No
aaagedfja,8.4334375,No
aaagedfgc,8.43056713,No
aaagfdife,41.37914352,No
aaibfijbj,136.123044,Yes
aaibfidii,44.70612269,No
aaibfiiba,0.065543981,No
aaibffbac,201.9536806,Yes
aaagbaiie,279.235544,Yes
aaagaijei,425.3625463,Yes
aagcbejfb,84.25232639,No
aagccbbch,0.93255787,No
aacgedbig,33.9691088,No
aacgefjee,3.866087963,No
aacgeiibh,0.018194444,No
aaibechae,0.000381944,No
aahaejdja,3.689618056,No
aahaffihb,2.31E-05,No
aadihdief,3.967094907,No
aagbafhdi,3.066608796,No
aagbcbgif,16.13196759,No
aagbadiji,18.00502315,No
aagbfejej,641.229537,Yes
aagbdieeh,1772.724919,Yes
aahadahba,0.021400463,No
aahadddjd,0.973969907,No
aahacjjff,0.194363426,No
aahadbfjg,293.2227662,Yes
aahadbbed,0.009780093,No
aahadchig,1.132118056,No
aahadahfh,23.10755787,No
aahheeeah,38.30013889,No
aaagaahhd,0.199282407,No
aaagaahcj,7.341377315,No
aagjjijeb,2.950659722,No
aaiaeggji,0.396516204,No
aaiafggia,5.755775463,No
aaiafhjci,0.821886574,No
aaiagdjhg,84.19479167,No
aaiadhiig,0.005949074,No
aaiaegcaf,0.103553241,No
aaiafehch,0.037118056,No
aaiadebei,1.984768519,No
aaiadebed,2.13849537,No
aaiadebfa,1.984768519,No
aaiaicgae,10.84364583,No
aaiaicgbj,10.84364583,No
aaiadfcfj,3.138935185,No
aaiaehhce,71.52436343,No
aaiagiaee,2.351296296,No
aaiajjhjd,132.6247338,Yes
aaiadeadc,15.42467593,No
aaibbgeab,5.009444444,No
aaiagcefe,13.02894676,No
aaiadfjbi,0.148530093,No
aaiajcejc,88.80859954,No
aaiaeffgi,3.785601852,No
aaiahgefd,13.97212963,No
aaajgcija,37.07141204,No
aaafhhdef,3.028622685,No
aaafhihfh,0.006805556,No
aaafhgefe,32.9558912,No
aaafhhhfc,0.075868056,No
aaigdcbbd,358.9871065,Yes
aaigcjeab,0.057372685,No
aaigeebdb,97.03012731,No
aaigdaabg,137.7836343,Yes
aaiggaihg,8.13818287,No
aaiggeigb,15.63269676,No
aaiggihaa,0.04556713,No
aaigedadb,0.40193287,No
aahjbjffb,0.048368056,No
aahjbijff,1.74162037,No
aagggdbag,0.010949074,No
aagggdfje,101.7802894,Yes
aagghfiid,0.304490741,No
aagghehdg,0.296967593,No
aaafhcdej,0.111666667,No
aahcajbae,0,No
aahggeccb,1.005902778,No
aageaiebg,0.591053241,No
aagebfggf,13.935625,No
aagecfgaf,1.121782407,No
aagebhcfb,46.08487269,No
aageciahe,0.139513889,No
aageaifeg,134.7074769,Yes
aageagbfj,34.5203125,No
aagebiggb,0.718726852,No
aagebgcag,9.719351852,No
aagebhjjd,0.001909722,No
aagebghdd,0.060972222,No
aagebeidj,3.826608796,No
aagebidgf,0.003148148,No
aagebgbjg,1.581215278,No
aagecbcjf,0.952094907,No
aagecegcg,0.916030093,No
aagebhbdj,0.066967593,No
aageajcaa,3.728842593,No
aagechadg,0.345023148,No
aagebigjg,7.869722222,No
aageafddj,38.02068287,No
aagecehcd,1.316284722,No
aagebidia,0,No
aaccbihhf,0.114351852,No
aaccbgjjj,2.907476852,No
aagddehge,748.9421875,Yes
aagddbjbe,16.16363426,No
aagdcedcd,1.047766204,No
aagdcjhad,0.116597222,No
aagdciigc,0.035439815,No
aahhbcdgd,1.078020833,No
aahhajejf,1.093252315,No
aahhajgch,0.107685185,No
aahhbabgb,0.132210648,No
aahhbeadb,11.04237269,No
aagedcbec,1.472569444,No
aageediea,146.5681944,Yes
aagedfaah,10.96359954,No
aagedibjj,18.9371412,No
aagefbjcb,28.21702546,No
aabjbdgbh,23.0265625,No
aabjbfcah,26.28383102,No
aabjbfcaj,26.24759259,No
aabjbdeii,35.03725694,No
aabjbdfdf,0.009849537,No
aagadijhj,46.81792824,No
aafjiefjh,2.621886574,No
aagafiahg,0.002037037,No
aafjibghb,2070.786991,Yes
aafjfhebj,0.895902778,No
aagaccieh,1615.619306,Yes
aafjeeidc,0.00287037,No
aafjfdjgc,0.012418981,No
aagafcjej,28.76866898,No
aagaddfea,0.775844907,No
aagafeejj,164.7960185,Yes
aagadhddg,0,No
aagabdefd,407.7586343,Yes
aagabdeeg,407.7586343,Yes
aagafjjja,219.9753588,Yes
aafjgfahe,13.73840278,No
aagafagaa,295.7335764,Yes
aafjhgfih,361.1635417,Yes
aafjhaicg,10.37055556,No
aafjgjibb,5.882569444,No
aagabjdej,92.18282407,No
aagabjfce,92.17930556,No
aagaafcji,170.818206,Yes
aafjeifhh,17.03439815,No
aagafeeeb,3.853356481,No
aagaaiccj,1.16E-05,No
aagaaiiii,0.052418981,No
aafjeeice,0.001481481,No
aafjiihbd,621.3904861,Yes
aagaafhjb,0.809699074,No
aafjfgigi,9.708275463,No
aafjjeaad,0.001273148,No
aagaedfcf,839.9480671,Yes
aagacddbd,1547.082384,Yes
aahbihceh,385.0054398,Yes
aaafjjefc,15.77021991,No
aahjhefih,0.133819444,No
aahhcigaj,0.000636574,No
aaajghddb,3.073819444,No
aaajggiid,0,No
aaccdjcbg,19.61689815,No
aaeaaijah,0,No
aagbihbae,13.64371528,No
aagbjhedc,28.10428241,No
aagbgjejh,9.933009259,No
aagbjcdea,0.023125,No
aagbhhgfj,15.06297454,No
aagbhfhjh,0.712291667,No
aagggijfb,625.8912384,Yes
aaggghija,143.1612153,Yes
aagghabac,5.999803241,No
aahjgiche,162.8717245,Yes
aahjghaid,3.738634259,No
aahjggcbb,0.963622685,No
aahjghjge,181.801956,Yes
